Source,Target,Count,Type,Weight
George Osborne,Green Party,94,Undirected,0.002595953
Stella Creasy,Twitter,94,Undirected,0.002595953
Chris Leslie,Ed Miliband,317,Undirected,0.002574698
Liz Kendall,Rachel Reeves,316,Undirected,0.002566576
Associated Press,Supreme Court,23,Undirected,0.002543923
David Miliband,Stella Creasy,313,Undirected,0.00254221
Nigel Farage,Scottish National Party,92,Undirected,0.00254072
Jim Murphy,Mary Creagh,312,Undirected,0.002534088
John Mann,Tony Blair,312,Undirected,0.002534088
Diane Abbott,George Osborne,312,Undirected,0.002534088
Harriet Harman,Jim Murphy,312,Undirected,0.002534088
Ed Miliband,Margaret Hodge,311,Undirected,0.002525965
Alastair Campbell,Andy Burnham,310,Undirected,0.002517843
John Mann,Tom Watson,309,Undirected,0.002509721
Alastair Campbell,Ed Miliband,309,Undirected,0.002509721
Jeremy Corbyn,Margaret Hodge,307,Undirected,0.002493477
Andy Burnham,International Rescue Committee,90,Undirected,0.002485487
Chuka Umunna,Queen Mary University Of London,90,Undirected,0.002485487
Diane Abbott,Harriet Harman,304,Undirected,0.002469111
Jim Murphy,Queen Mary University Of London,89,Undirected,0.00245787
Liz Kendall,Reuters,89,Undirected,0.00245787
Boris Johnson,Green Party,89,Undirected,0.00245787
Andy Burnham,Margaret Hodge,302,Undirected,0.002452867
Jeremy Corbyn,Len Mccluskey,301,Undirected,0.002444745
Andy Burnham,Sadiq Khan,301,Undirected,0.002444745
Liz Kendall,Margaret Hodge,301,Undirected,0.002444745
Boris Johnson,David Cameron,301,Undirected,0.002444745
Ed Miliband,Nigel Farage,300,Undirected,0.002436623
Green Party,People Assembly,22,Undirected,0.002433318
Boris Johnson,Labour Party,88,Undirected,0.002430254
Harriet Harman,Queen Mary University Of London,88,Undirected,0.002430254
Len Mccluskey,Queen Mary University Of London,88,Undirected,0.002430254
Harriet Harman,Hilary Benn,297,Undirected,0.002412256
Liz Kendall,Sadiq Khan,295,Undirected,0.002396012
Chuka Umunna,Margaret Beckett,293,Undirected,0.002379768
Andy Burnham,John Prescott,291,Undirected,0.002363524
Ed Miliband,International Rescue Committee,85,Undirected,0.002347404
Alastair Campbell,Chuka Umunna,289,Undirected,0.00234728
Andy Burnham,Nigel Farage,288,Undirected,0.002339158
Douglas Alexander,Ed Miliband,288,Undirected,0.002339158
Ed Miliband,Sadiq Khan,286,Undirected,0.002322914
Andy Burnham,Caroline Flint,286,Undirected,0.002322914
European Parliament,Labour Party,21,Undirected,0.002322713
Green Party,National Health Service,21,Undirected,0.002322713
Andy Burnham,CNN,84,Undirected,0.002319788
Boris Johnson,Scottish National Party,84,Undirected,0.002319788
Jim Murphy,Tony Blair,284,Undirected,0.002306669
Gordon Brown,Margaret Beckett,284,Undirected,0.002306669
Caroline Lucas,Green Party,83,Undirected,0.002292171
Chuka Umunna,George Osborne,280,Undirected,0.002274181
Chuka Umunna,Jim Murphy,280,Undirected,0.002274181
Andy Burnham,John Smith,279,Undirected,0.002266059
Alastair Campbell,Liz Kendall,277,Undirected,0.002249815
Alan Johnson,Margaret Beckett,277,Undirected,0.002249815
Jeremy Corbyn,Sadiq Khan,277,Undirected,0.002249815
David Miliband,International Rescue Committee,81,Undirected,0.002236938
Ed Miliband,Labour Party,81,Undirected,0.002236938
John Smith,Liz Kendall,271,Undirected,0.002201082
Caroline Flint,Tom Watson,271,Undirected,0.002201082
David Cameron,Sadiq Khan,270,Undirected,0.00219296
Caroline Lucas,European Union,79,Undirected,0.002181705
Jeremy Corbyn,Reuters,79,Undirected,0.002181705
Gordon Brown,Office For Budget Responsibility,79,Undirected,0.002181705
Alastair Campbell,David Miliband,268,Undirected,0.002176716
Alan Johnson,Tony Blair,266,Undirected,0.002160472
Caroline Flint,Liz Kendall,265,Undirected,0.00215235
Chris Leslie,David Miliband,263,Undirected,0.002136106
Gordon Brown,Prince Regeneration,77,Undirected,0.002126472
John Prescott,Labour Party,77,Undirected,0.002126472
Gordon Brown,My Regeneration,77,Undirected,0.002126472
David Cameron,Jim Murphy,261,Undirected,0.002119862
Chris Leslie,Stella Creasy,261,Undirected,0.002119862
Ed Miliband,Rachel Reeves,260,Undirected,0.00211174
European Union,Facebook,19,Undirected,0.002101502
Andy Burnham,Julie Bailey,257,Undirected,0.002087373
Andy Burnham,Douglas Alexander,257,Undirected,0.002087373
Caroline Lucas,Scottish National Party,75,Undirected,0.002071239
David Cameron,Foreign Office,75,Undirected,0.002071239
Harriet Harman,Len Mccluskey,254,Undirected,0.002063007
Harriet Harman,John Smith,253,Undirected,0.002054885
Harriet Harman,Stella Creasy,252,Undirected,0.002046763
John Smith,Mary Creagh,252,Undirected,0.002046763
Julie Bailey,Liz Kendall,251,Undirected,0.002038641
Julie Bailey,Mary Creagh,250,Undirected,0.002030519
Mary Creagh,Sadiq Khan,250,Undirected,0.002030519
John Smith,Tony Blair,250,Undirected,0.002030519
Alastair Campbell,Tom Watson,249,Undirected,0.002022397
Caroline Flint,Ed Miliband,245,Undirected,0.001989909
Ben Bradshaw,Labour Party,72,Undirected,0.001988389
Dame Margaret Beckett,Harriet Harman,244,Undirected,0.001981786
Dame Margaret Beckett,Liz Kendall,243,Undirected,0.001973664
Andy Burnham,Dame Margaret Beckett,243,Undirected,0.001973664
John Smith,Julie Bailey,243,Undirected,0.001973664
Harriet Harman,Julie Bailey,242,Undirected,0.001965542
Dame Margaret Beckett,John Smith,242,Undirected,0.001965542
Dame Margaret Beckett,Julie Bailey,242,Undirected,0.001965542
Dame Margaret Beckett,Mary Creagh,242,Undirected,0.001965542
John Prescott,Mary Creagh,242,Undirected,0.001965542
Margaret Hodge,Office For Budget Responsibility,71,Undirected,0.001960773
David Bowie,Jeremy Corbyn,240,Undirected,0.001949298
Harriet Harman,John Prescott,239,Undirected,0.001941176
David Miliband,Office For Budget Responsibility,70,Undirected,0.001933156
Jim Murphy,Rachel Reeves,237,Undirected,0.001924932
George Osborne,Tom Watson,236,Undirected,0.00191681
Chuka Umunna,Douglas Alexander,235,Undirected,0.001908688
Andy Burnham,Foreign Office,69,Undirected,0.00190554
John Mann,Office For Budget Responsibility,69,Undirected,0.00190554
David Cameron,Labour Party,69,Undirected,0.00190554
Chris Leslie,Office For Budget Responsibility,69,Undirected,0.00190554
National Executive Committee,Labour Party,17,Undirected,0.001880291
George Osborne,People Assembly Against Austerity,68,Undirected,0.001877923
Len Mccluskey,Rachel Reeves,229,Undirected,0.001859955
Mary Creagh,Twitter,67,Undirected,0.001850307
Alan Johnson,My Regeneration,67,Undirected,0.001850307
Alan Johnson,Prince Regeneration,67,Undirected,0.001850307
David Cameron,Facebook,67,Undirected,0.001850307
David Miliband,Mary Creagh,227,Undirected,0.001843711
Stella Creasy,Tom Watson,226,Undirected,0.001835589
Julie Bailey,Tony Blair,225,Undirected,0.001827467
Ben Bradshaw,My Regeneration,66,Undirected,0.00182269
Alan Johnson,Labour Party,66,Undirected,0.00182269
Ed Miliband,Green Mps In Parliament,65,Undirected,0.001795074
David Cameron,Green Mps In Parliament,65,Undirected,0.001795074
Caroline Lucas,Green Mps In Parliament,65,Undirected,0.001795074
Boris Johnson,Green Mps In Parliament,65,Undirected,0.001795074
Andy Burnham,Investment Partnership,65,Undirected,0.001795074
Ben Bradshaw,Prince Regeneration,65,Undirected,0.001795074
John Prescott,Julie Bailey,221,Undirected,0.001794979
Nick Clegg,Nigel Farage,219,Undirected,0.001778735
Douglas Alexander,Harriet Harman,218,Undirected,0.001770612
Reuters,Twitter,16,Undirected,0.001769686
Harriet Harman,National Insurance,64,Undirected,0.001767457
George Osborne,Labour Party,64,Undirected,0.001767457
Dame Margaret Beckett,Tony Blair,216,Undirected,0.001754368
Andy Burnham,Vernon Coaker,215,Undirected,0.001746246
Ed Miliband,Opening Of Parliament,63,Undirected,0.001739841
Andy Burnham,Charlotte Church,63,Undirected,0.001739841
Alan Johnson,Ed Miliband,214,Undirected,0.001738124
John Prescott,John Smith,214,Undirected,0.001738124
Dame Margaret Beckett,John Prescott,212,Undirected,0.00172188
George Osborne,National Insurance,62,Undirected,0.001712224
Boris Johnson,Twitter,62,Undirected,0.001712224
Jeremy Corbyn,National Insurance,62,Undirected,0.001712224
David Cameron,Investment Partnership,62,Undirected,0.001712224
Boris Johnson,Ed Miliband,208,Undirected,0.001689392
Liz Kendall,Vernon Coaker,208,Undirected,0.001689392
Harriet Harman,Nick Clegg,208,Undirected,0.001689392
Chuka Umunna,Len Mccluskey,208,Undirected,0.001689392
Dan Jarvis,European Union,61,Undirected,0.001684608
Andy Burnham,Ben Bradshaw,207,Undirected,0.00168127
Alastair Campbell,Tony Blair,205,Undirected,0.001665025
Caroline Lucas,Jeremy Corbyn,205,Undirected,0.001665025
National Living Wage,Office For Budget Responsibility,15,Undirected,0.00165908
National Living Wage,Twitter,15,Undirected,0.00165908
European Parliament,European Union,15,Undirected,0.00165908
Chris Leslie,Chuka Umunna,202,Undirected,0.001640659
Jeremy Corbyn,Sam Fairbairn,202,Undirected,0.001640659
Nick Clegg,Twitter,59,Undirected,0.001629375
David Cameron,Margaret Thatcher,200,Undirected,0.001624415
Len Mccluskey,Tony Blair,197,Undirected,0.001600049
Chuka Umunna,Jeremy Corbyn,196,Undirected,0.001591927
Caroline Flint,Chuka Umunna,195,Undirected,0.001583805
Margaret Beckett,Mary Creagh,193,Undirected,0.001567561
Alastair Campbell,David Cameron,192,Undirected,0.001559439
Dan Jarvis,Mary Creagh,191,Undirected,0.001551316
Facebook,Green Party,14,Undirected,0.001548475
Facebook,People Assembly,14,Undirected,0.001548475
Office For Budget Responsibility,Twitter,14,Undirected,0.001548475
National Health Service,Twitter,14,Undirected,0.001548475
Green Mps In Parliament,Labour Party,14,Undirected,0.001548475
CNN,European Union,14,Undirected,0.001548475
Liz Kendall,Nick Clegg,190,Undirected,0.001543194
Hilary Benn,Jeremy Corbyn,189,Undirected,0.001535072
Alastair Campbell,Harriet Harman,189,Undirected,0.001535072
Mary Creagh,Tom Watson,189,Undirected,0.001535072
Alan Johnson,Dan Jarvis,187,Undirected,0.001518828
Douglas Alexander,Liz Kendall,187,Undirected,0.001518828
Ben Bradshaw,Caroline Flint,186,Undirected,0.001510706
Caroline Flint,Mary Creagh,186,Undirected,0.001510706
Chris Leslie,Harriet Harman,186,Undirected,0.001510706
Liz Kendall,Ed Miliband,185,Undirected,0.001502584
Len Mccluskey,Sam Fairbairn,184,Undirected,0.001494462
Andy Burnham,National Insurance,54,Undirected,0.001491292
Andy Burnham,Nick Clegg,183,Undirected,0.00148634
Mary Creagh,Rachel Reeves,183,Undirected,0.00148634
Ben Bradshaw,Liz Kendall,183,Undirected,0.00148634
Diane Abbott,Mary Creagh,182,Undirected,0.001478218
George Osborne,Parliamentary Standards Authority,53,Undirected,0.001463675
John Prescott,Labour Party,53,Undirected,0.001463675
Chuka Umunna,Hilary Benn,179,Undirected,0.001453852
Labour Party,Supreme Court,13,Undirected,0.00143787
British Medical Association,National Insurance,13,Undirected,0.00143787
Andy Burnham,National Health Service,52,Undirected,0.001436059
Chuka Umunna,Reuters,52,Undirected,0.001436059
Caroline Flint,Labour Party,52,Undirected,0.001436059
Alan Johnson,Andy Burnham,176,Undirected,0.001429485
Hilary Benn,Margaret Hodge,176,Undirected,0.001429485
Douglas Alexander,Hilary Benn,175,Undirected,0.001421363
Hilary Benn,Vernon Coaker,174,Undirected,0.001413241
Chris Leslie,Hilary Benn,174,Undirected,0.001413241
Alastair Campbell,Gordon Brown,174,Undirected,0.001413241
George Osborne,International Development,51,Undirected,0.001408442
Caroline Flint,Supreme Court,51,Undirected,0.001408442
Andy Burnham,Supreme Court,51,Undirected,0.001408442
David Miliband,Douglas Alexander,172,Undirected,0.001396997
Douglas Alexander,European Union,50,Undirected,0.001380826
Liz Kendall,National Insurance,50,Undirected,0.001380826
Gordon Brown,Stella Creasy,169,Undirected,0.001372631
Caroline Lucas,Len Mccluskey,169,Undirected,0.001372631
Chris Leslie,Douglas Alexander,169,Undirected,0.001372631
Gordon Brown,Jim Murphy,169,Undirected,0.001372631
Jeremy Corbyn,Kate Hudson,167,Undirected,0.001356387
Kate Hudson,Len Mccluskey,167,Undirected,0.001356387
David Cameron,Vernon Coaker,167,Undirected,0.001356387
David Cameron,Scottish Parliament,49,Undirected,0.001353209
Diane Abbott,Sadiq Khan,166,Undirected,0.001348265
Caroline Flint,Jeremy Corbyn,165,Undirected,0.001340142
Jeremy Corbyn,Margaret Thatcher,165,Undirected,0.001340142
Caroline Lucas,Sam Fairbairn,164,Undirected,0.00133202
Harriet Harman,Rachel Reeves,164,Undirected,0.00133202
Alastair Campbell,Dan Jarvis,164,Undirected,0.00133202
Margaret Hodge,Vernon Coaker,164,Undirected,0.00133202
Alan Johnson,David Cameron,163,Undirected,0.001323898
David Miliband,Hilary Benn,162,Undirected,0.001315776
Ben Bradshaw,Ed Miliband,161,Undirected,0.001307654
Kate Hudson,Sam Fairbairn,161,Undirected,0.001307654
Douglas Alexander,Stella Creasy,160,Undirected,0.001299532
George Osborne,Scottish Parliament,47,Undirected,0.001297976
Andy Burnham,Yvette Cooper,7371,Undirected,0.059867819
Liz Kendall,Yvette Cooper,6914,Undirected,0.05615603
Ed Miliband,Yvette Cooper,5252,Undirected,0.042657141
National Health Service,Union Jack,240,Undirected,0.026545288
Royal Bank,Union Jack,239,Undirected,0.026434682
Charlotte Church,Union Jack,237,Undirected,0.026213472
Parliament Square,Union Jack,228,Undirected,0.025218023
Jeremy Corbyn,Yvette Cooper,2752,Undirected,0.022351952
David Cameron,Yvette Cooper,2688,Undirected,0.021832139
Harriet Harman,Yvette Cooper,2607,Undirected,0.021174251
Mary Creagh,Yvette Cooper,2486,Undirected,0.02019148
Labour Party,Public Accounts Committee,173,Undirected,0.019134728
Labour Party,Welsh Assembly,172,Undirected,0.019024123
Campaign For Nuclear Disarmament,War Coalition,168,Undirected,0.018581701
Chuka Umunna,Yvette Cooper,2209,Undirected,0.017941665
People Assembly,War Coalition,162,Undirected,0.017918069
Scottish Parliament,Welsh Assembly,160,Undirected,0.017696859
Charlotte Church,War Coalition,158,Undirected,0.017475648
Labour Party,War Coalition,148,Undirected,0.016369594
Tony Blair,Yvette Cooper,1928,Undirected,0.015659362
British Medical Association,Royal College Of Nursing,113,Undirected,0.012498406
Gordon Brown,Yvette Cooper,1505,Undirected,0.012223724
Opening Of Parliament,Royal Commission,109,Undirected,0.012055985
People Assembly Against Austerity,Union Jack,95,Undirected,0.01050751
Labour Party,United States,89,Undirected,0.009843878
Labour Party,Union Congress,89,Undirected,0.009843878
Queen Mary University Of London,University Of Edinburgh,88,Undirected,0.009733272
Labour Party,University Of Edinburgh,88,Undirected,0.009733272
George Osborne,Yvette Cooper,1195,Undirected,0.00970588
Labour Party,Shadow Health,82,Undirected,0.00906964
David Miliband,Yvette Cooper,1076,Undirected,0.008739353
Charlotte Church,Union Congress,61,Undirected,0.006746927
Green Party,Union Congress,61,Undirected,0.006746927
Jeremy Corbyn,Union Jack,242,Undirected,0.006683197
David Bowie,Union Jack,240,Undirected,0.006627964
Dan Jarvis,Yvette Cooper,786,Undirected,0.006383951
IPCC,Police Complaints Commission,57,Undirected,0.006304506
Labour Party,National Union Of Students,56,Undirected,0.0061939
Andy Burnham,Shadow Health,222,Undirected,0.006130867
People Assembly Against Austerity,Union Congress,53,Undirected,0.005862084
European Union,Yougov,53,Undirected,0.005862084
Tom Watson,Yvette Cooper,717,Undirected,0.005823528
Stella Creasy,Yvette Cooper,696,Undirected,0.005652965
Jeremy Corbyn,War Coalition,192,Undirected,0.005302371
National Insurance,National Union Of Students,47,Undirected,0.005198452
European Union,United States,46,Undirected,0.005087847
Scottish National Party,Yougov,45,Undirected,0.004977241
Liz Kendall,Public Accounts Committee,179,Undirected,0.004943357
Margaret Hodge,Public Accounts Committee,179,Undirected,0.004943357
Ed Miliband,Public Accounts Committee,178,Undirected,0.00491574
Andy Burnham,Public Accounts Committee,177,Undirected,0.004888124
Reuters,Union Congress,44,Undirected,0.004866636
Green Party,Yougov,44,Undirected,0.004866636
Hilary Benn,Public Accounts Committee,175,Undirected,0.004832891
Jeremy Corbyn,Public Accounts Committee,175,Undirected,0.004832891
Justice Campaign,Police Complaints Commission,43,Undirected,0.004756031
Len Mccluskey,War Coalition,171,Undirected,0.004722425
Andy Burnham,Welsh Assembly,170,Undirected,0.004694808
Ed Miliband,Welsh Assembly,169,Undirected,0.004667192
Liz Kendall,Welsh Assembly,164,Undirected,0.004529109
Sam Fairbairn,War Coalition,163,Undirected,0.004501492
Kate Hudson,War Coalition,162,Undirected,0.004473876
Jim Murphy,Yvette Cooper,550,Undirected,0.004467142
Green Mps In Parliament,Yougov,40,Undirected,0.004424215
Liz Kendall,Shadow Health,155,Undirected,0.00428056
John Mann,Yvette Cooper,521,Undirected,0.004231601
Labour Party,United Kingdom Independence Party,38,Undirected,0.004203004
Len Mccluskey,Yvette Cooper,517,Undirected,0.004199113
Caroline Lucas,War Coalition,151,Undirected,0.004170094
Diane Abbott,Yvette Cooper,499,Undirected,0.004052916
Alex Diaz,Union Jack,141,Undirected,0.003893929
Hilary Benn,Yvette Cooper,479,Undirected,0.003890474
Nicky Morgan,Yvette Cooper,466,Undirected,0.003784887
Chuka Umunna,Labour National Executive Committee,127,Undirected,0.003507298
Harriet Harman,Labour National Executive Committee,125,Undirected,0.003452065
Ed Miliband,Shadow Health,125,Undirected,0.003452065
Labour Party,Yougov,31,Undirected,0.003428766
Dan Jarvis,Labour National Executive Committee,121,Undirected,0.003341599
Gordon Brown,Labour National Executive Committee,120,Undirected,0.003313982
Ed Miliband,Labour National Executive Committee,118,Undirected,0.003258749
Andy Burnham,Royal College Of Nursing,117,Undirected,0.003231133
Associated Press,University Of Edinburgh,29,Undirected,0.003207556
David Cameron,Labour National Executive Committee,116,Undirected,0.003203516
European Union,United Kingdom Independence Party,28,Undirected,0.00309695
Nick Clegg,Yvette Cooper,379,Undirected,0.003078267
Hilary Benn,Royal Commission,109,Undirected,0.0030102
Harriet Harman,Royal Commission,109,Undirected,0.0030102
Liz Kendall,Royal Commission,109,Undirected,0.0030102
Scottish National Party,United Kingdom Independence Party,27,Undirected,0.002986345
Twitter,United States,27,Undirected,0.002986345
Alan Johnson,Labour National Executive Committee,105,Undirected,0.002899734
Margaret Beckett,Yvette Cooper,351,Undirected,0.002850849
Rachel Reeves,Yvette Cooper,347,Undirected,0.00281836
Andy Burnham,United States,100,Undirected,0.002761652
Caroline Flint,Yvette Cooper,340,Undirected,0.002761506
Nick Clegg,Royal Commission,99,Undirected,0.002734035
Chris Leslie,Yvette Cooper,336,Undirected,0.002729017
David Cameron,Union Jack,98,Undirected,0.002706419
David Cameron,Royal Commission,97,Undirected,0.002678802
Margaret Thatcher,Union Jack,95,Undirected,0.002623569
Ben Bradshaw,Yvette Cooper,319,Undirected,0.002590942
Alastair Campbell,Yvette Cooper,310,Undirected,0.002517843
Andy Burnham,University Of Edinburgh,90,Undirected,0.002485487
Jim Murphy,University Of Edinburgh,89,Undirected,0.00245787
Margaret Hodge,Yvette Cooper,300,Undirected,0.002436623
Gordon Brown,University Of Edinburgh,88,Undirected,0.002430254
Chuka Umunna,University Of Edinburgh,88,Undirected,0.002430254
Liz Kendall,University Of Edinburgh,88,Undirected,0.002430254
Len Mccluskey,University Of Edinburgh,88,Undirected,0.002430254
Ed Miliband,University Of Edinburgh,88,Undirected,0.002430254
Tony Blair,University Of Edinburgh,88,Undirected,0.002430254
Sadiq Khan,Yvette Cooper,299,Undirected,0.002428501
Harriet Harman,University Of Edinburgh,87,Undirected,0.002402637
Jeremy Corbyn,United States,86,Undirected,0.002375021
Douglas Alexander,Yvette Cooper,292,Undirected,0.002371646
Twitter,United Kingdom Independence Party,21,Undirected,0.002322713
Nigel Farage,Yvette Cooper,284,Undirected,0.002306669
John Smith,Yvette Cooper,283,Undirected,0.002298547
Boris Johnson,Yvette Cooper,280,Undirected,0.002274181
David Cameron,Union Congress,82,Undirected,0.002264554
Ed Miliband,Yougov,81,Undirected,0.002236938
Alan Johnson,Yvette Cooper,273,Undirected,0.002217327
David Cameron,Yougov,79,Undirected,0.002181705
John Prescott,Yvette Cooper,268,Undirected,0.002176716
David Cameron,United States,75,Undirected,0.002071239
Julie Bailey,Yvette Cooper,252,Undirected,0.002046763
Green Party,United States,18,Undirected,0.001990897
Facebook,United States,18,Undirected,0.001990897
Dame Margaret Beckett,Yvette Cooper,244,Undirected,0.001981786
Jeremy Corbyn,Union Congress,71,Undirected,0.001960773
Liz Kendall,United States,66,Undirected,0.00182269
Chuka Umunna,Shadow Health,65,Undirected,0.001795074
Ed Miliband,United States,64,Undirected,0.001767457
George Osborne,Union Congress,64,Undirected,0.001767457
Vernon Coaker,Yvette Cooper,217,Undirected,0.00176249
Ed Miliband,Royal Commission,62,Undirected,0.001712224
Supreme Court,United States,15,Undirected,0.00165908
National Health Service,United Kingdom Independence Party,15,Undirected,0.00165908
National Health Service,United States,15,Undirected,0.00165908
Scottish National Party,United States,15,Undirected,0.00165908
Boris Johnson,Yougov,60,Undirected,0.001656991
Nigel Farage,Yougov,58,Undirected,0.001601758
Jeremy Corbyn,Shadow Health,58,Undirected,0.001601758
Nick Clegg,Yougov,58,Undirected,0.001601758
Andy Burnham,United Kingdom Independence Party,58,Undirected,0.001601758
Ed Miliband,United Kingdom Independence Party,57,Undirected,0.001574142
Reuters,United States,14,Undirected,0.001548475
Andy Burnham,National Union Of Students,54,Undirected,0.001491292
Foreign Office,United States,13,Undirected,0.00143787
George Osborne,National Union Of Students,51,Undirected,0.001408442
Mary Creagh,Shadow Health,50,Undirected,0.001380826
Tony Blair,United States,50,Undirected,0.001380826
Liz Kendall,National Union Of Students,49,Undirected,0.001353209
David Cameron,Shadow Health,48,Undirected,0.001325593
